rent_multiplier,contract_years,allocation_family,p025,p50,p975,mean,p025_pct,p50_pct,p975_pct
1,5,FAMILY_01,0.2650574827125113,0.3693336961900037,0.506777414994641,0.3732794926231913,26.50574827125113,36.93336961900037,50.6777414994641
3.3544,5,FAMILY_01,0.5591265018747887,0.6539546581204504,0.7571891075140993,0.6542089385967196,55.91265018747887,65.39546581204505,75.71891075140994
6.7088,5,FAMILY_01,0.7434234017155747,0.815400555902948,0.8822482252462162,0.8143272685034233,74.34234017155748,81.5400555902948,88.22482252462162
13.4175,5,FAMILY_01,0.8855899034135808,0.9320692433382476,0.9614444569008844,0.9296142933473888,88.55899034135808,93.20692433382476,96.14444569008845
20.1263,5,FAMILY_01,0.9414295600029281,0.9671409575631624,0.9817715796022691,0.965783116146901,94.14295600029281,96.71409575631624,98.17715796022691
1,5,FAMILY_02,0.17914707485626,0.2776005472303623,0.4179221084526432,0.2832649964959011,17.914707485626,27.76005472303623,41.79221084526432
3.3544,5,FAMILY_02,0.4654443491022057,0.57077004800722,0.6905331250347162,0.5725455996071321,46.54443491022057,57.07700480072199,69.05331250347162
6.7088,5,FAMILY_02,0.6728917804886242,0.7617034539059099,0.8450090712980964,0.7603795129629316,67.28917804886242,76.17034539059098,84.50090712980965
13.4175,5,FAMILY_02,0.8513756587966061,0.9111574139550802,0.9474325374514764,0.9080006557480385,85.13756587966061,91.11574139550802,94.74325374514764
20.1263,5,FAMILY_02,0.9239924137987611,0.9564356452796876,0.9745009918153916,0.9547716018856576,92.3992413798761,95.64356452796876,97.45009918153916
1,5,FAMILY_03,0.1941129225664726,0.2967772289169945,0.4408842394441119,0.302419396289705,19.41129225664726,29.67772289169945,44.08842394441119
3.3544,5,FAMILY_03,0.4908584826226069,0.5951964593674208,0.7113504628952135,0.5964377328156356,49.08584826226069,59.51964593674208,71.13504628952136
6.7088,5,FAMILY_03,0.6934941651071285,0.7769496733503085,0.8554330719565933,0.7758044710298418,69.34941651071284,77.69496733503085,85.54330719565934
13.4175,5,FAMILY_03,0.8610264321912684,0.9159652549956928,0.9510917646010912,0.9132406039276927,86.10264321912683,91.59652549956928,95.10917646010913
20.1263,5,FAMILY_03,0.9275901162188895,0.9585497350618858,0.9757276688918872,0.9568693578674831,92.75901162188896,95.85497350618859,97.57276688918873
1,5,FAMILY_BALANCED,0.2127704669292824,0.3142478758366833,0.4550701375915429,0.3196546284695991,21.27704669292824,31.42478758366833,45.50701375915429
3.3544,5,FAMILY_BALANCED,0.5051425742597382,0.6062989283357502,0.7198465587417174,0.6077307570064958,50.51425742597382,60.62989283357501,71.98465587417175
6.7088,5,FAMILY_BALANCED,0.703400679176403,0.7845759326016569,0.860795278764504,0.7835037508320655,70.3400679176403,78.4575932601657,86.0795278764504
13.4175,5,FAMILY_BALANCED,0.8659684910941176,0.9196532185826805,0.9535046488378778,0.9169518510077066,86.59684910941175,91.96532185826804,95.35046488378778
20.1263,5,FAMILY_BALANCED,0.9309669397804875,0.9607833632709875,0.9771823030898363,0.9591413586333473,93.09669397804875,96.07833632709874,97.71823030898364
1,10,FAMILY_01,0.243893308498445,0.3537989620532672,0.4862058766392162,0.3567609285224465,24.3893308498445,35.37989620532672,48.62058766392162
3.3544,10,FAMILY_01,0.5354958772908254,0.63629134314049,0.7423892090269816,0.6346179608574977,53.54958772908254,63.629134314049,74.23892090269815
6.7088,10,FAMILY_01,0.7214402457982735,0.7991018041791504,0.8717363874837973,0.7973429624835501,72.14402457982735,79.91018041791504,87.17363874837973
13.4175,10,FAMILY_01,0.8753659273732812,0.9216963175685486,0.955991798389013,0.9196944294296066,87.53659273732812,92.16963175685487,95.5991798389013
20.1263,10,FAMILY_01,0.9340470864140006,0.961874629665215,0.9791611243823617,0.9604599163036067,93.40470864140006,96.1874629665215,97.91611243823617
1,10,FAMILY_02,0.1653957954988314,0.2627684397509402,0.3958984488511127,0.2681310310428516,16.53957954988314,26.27684397509402,39.58984488511127
3.3544,10,FAMILY_02,0.4437040579237974,0.5518070939035489,0.6735159913236602,0.550827611491286,44.37040579237974,55.18070939035488,67.35159913236602
6.7088,10,FAMILY_02,0.6489405370642615,0.741093499786364,0.8313567820511095,0.7394050213769288,64.89405370642615,74.1093499786364,83.13567820511095
13.4175,10,FAMILY_02,0.836219466862175,0.897713243552561,0.9407195594407117,0.8951057527547531,83.6219466862175,89.7713243552561,94.07195594407118
20.1263,10,FAMILY_02,0.9149282494366558,0.9498683720831388,0.9711068325897948,0.9479938994732958,91.49282494366558,94.98683720831387,97.11068325897948
1,10,FAMILY_03,0.1778774508244159,0.2809182269283231,0.4185129257221373,0.2865121982861538,17.78774508244159,28.09182269283231,41.85129257221373
