uncertainty_class,low,central,high,one_sided,implemented,note,width_pp,down_pp,up_pp,low_pct,central_pct,high_pct
Structural (12 implemented variants),0.6346911361838146,0.7867236358234311,0.8380991443512251,True,True,intensive representation × Census JOINT_EQUAL/OWNED/RENTED completion,20.34080081674106,15.20324996396165,5.137550852779404,63.46911361838146,78.67236358234311,83.80991443512251
"Statistical (paired bootstrap, 95%)",0.703400679176403,0.7845759326016569,0.860795278764504,False,True,Respondent-level resampling only,15.7394599588101,8.11752534252539,7.621934616284709,70.3400679176403,78.4575932601657,86.0795278764504
Upstream allocation family,0.7617034539059099,0.7845759326016569,0.815400555902948,False,True,Three independent POLYSYS allocation families,5.369710199703814,2.287247869574704,3.08246233012911,76.17034539059098,78.4575932601657,81.5400555902948
Contract duration (5 vs 10 year),0.7662009242736241,0.7845759326016569,0.7845759326016569,False,True,"Reported for completeness, smallest implemented class",1.837500832803285,1.837500832803285,0,76.62009242736241,78.4575932601657,78.4575932601657
Transport functional form,,0.7845759326016569,,False,False,PENDING: requires 07F-07H rerun with categorical p,,,,,78.4575932601657,
